,coilno,clean
810,400809,1
811,400810,1
812,400811,1
813,400812,1
814,400813,1
815,400814,1
816,400815,1
817,400816,1
818,400817,1
819,400818,1
820,400819,1
821,400820,1
822,400821,1
823,400822,1
824,400823,1
825,400824,1
826,400825,1
827,400826,1
828,400827,1
829,400828,1
830,400829,1
831,400830,1
832,400831,1
833,400832,1
834,400833,1
835,400834,1
836,400837,1
837,400838,1
838,400839,1
839,400840,1
840,400841,1
841,400842,1
842,400843,1
843,400844,0
844,400845,1
845,400846,1
846,400847,1
847,400848,1
848,400849,1
849,400850,1
850,400851,1
851,400852,1
852,400853,1
853,400854,1
854,400855,1
855,400856,1
856,400857,1
857,400858,1
858,400859,1
859,400860,1
860,400861,1
861,400862,1
862,400863,1
863,400864,1
864,400865,1
865,400866,1
866,400867,1
867,400868,1
868,400869,1
869,400870,1
870,400871,1
871,400872,1
872,400873,1
873,400874,1
874,400875,1
875,400876,1
876,400877,1
877,400878,1
878,400879,1
879,400880,1
880,400881,1
881,400882,1
882,400883,1
883,400884,1
884,400885,1
885,400886,1
886,400887,1
887,400888,1
888,400889,1
889,400890,1
890,400891,1
891,400892,1
892,400893,1
893,400894,1
894,400895,1
895,400896,1
896,400897,1
897,400898,1
898,400899,1
899,400901,1
900,400902,1
901,400903,1
902,400904,1
903,400905,1
904,400906,1
905,400907,1
906,400908,1
907,400909,1
908,400910,1
909,400911,1
910,400912,1
911,400913,1
912,400914,1
913,400915,1
914,400916,1
915,400917,1
916,400918,1
917,400919,1
918,400920,1
919,400921,1
920,400922,1
921,400923,1
922,400924,1
923,400925,1
924,400926,1
925,400927,1
926,400928,1
927,400929,1
928,400930,1
929,400931,1
930,400932,1
931,400933,1
932,400934,1
933,400935,1
934,400936,1
935,400937,1
936,400938,1
937,400939,1
938,400940,1
939,400941,1
940,400942,1
941,400943,1
942,400944,1
943,400945,1
944,400946,1
945,400947,1
946,400948,1
947,400949,1
948,400950,1
949,400951,1
950,400952,1
951,400953,1
952,400954,1
953,400955,1
954,400956,1
955,400957,1
956,400958,1
957,400959,1
958,400960,1
959,400961,1
960,400962,1
961,400963,1
962,400964,1
963,400965,1
964,400966,1
965,400967,1
966,400968,1
967,400969,1
968,400970,1
969,400971,1
970,400972,1
971,400973,1
972,400974,1
973,400975,1
974,400976,1
975,400977,1
976,400978,1
977,400979,1
978,400980,1
979,400981,1
980,400982,1
981,400983,1
982,400984,0
983,400985,1
984,400986,1
985,400987,1
986,400988,1
987,400989,1
988,400990,1
989,400991,1
990,400992,1
991,400993,1
992,400994,1
993,400995,1
994,400997,1
